Incident Angle (deg),Reflectance (%) p-pol
 0 , 3.64000353414139E-03 
 0.9 , 3.63859147732596E-03 
 1.8 , 3.63434985545868E-03 
 2.7 , 3.62726235327537E-03 
 3.6 , 3.61730190917785E-03 
 4.5 , 3.60443091277704E-03 
 5.4 , 3.58860148502991E-03 
 6.3 , 3.56975584453962E-03 
 7.2 , 3.54782676462301E-03 
 8.1 , 3.52273812678127E-03 
 9 , 3.49440557724909E-03 
 9.9 , 3.46273729433955E-03 
 10.8 , 3.42763487536167E-03 
 11.7 , 3.38899435295446E-03 
 12.6 , 3.34670735175874E-03 
 13.5 , 3.30066239745495E-03 
 14.4 , 3.25074639130576E-03 
 15.3 , 3.1968462645012E-03 
 16.2 , 3.1388508277721E-03 
 17.1 , 3.07665283296264E-03 
 18 , 3.01015126452589E-03 
 18.9 , 2.93925388022914E-03 
 19.8 , 2.86388002176094E-03 
 20.7 , 2.78396371743537E-03 
 21.6 , 2.6994571007883E-03 
 22.5 , 2.61033417061641E-03 
 23.4 , 2.51659491991972E-03 
 24.3 , 2.41826986333213E-03 
 25.2 , 2.31542499500279E-03 
 26.1 , 2.20816721155648E-03 
 27 , 2.09665023781649E-03 
 27.9 , 1.98108109646338E-03 
 28.8 , 1.86172716682683E-03 
 29.7 , 1.73892388269459E-03 
 30.6 , 1.61308312447089E-03 
 31.5 , 1.48470236742676E-03 
 32.4 , 1.3543746552921E-03 
 33.3 , 1.22279947733095E-03 
 34.2 , 1.09079463752527E-03 
 35.1 , 9.59309216948547E-04 
 36 , 8.29437745179018E-04 
 36.9 , 7.02435714193348E-04 
 37.4538461538462 , 6.26320029894104E-04 
 37.8 , 5.79736589128879E-04 
 38.3538461538462 , 5.07065721117157E-04 
 38.7 , 4.62970495306987E-04 
 39.2538461538462 , 3.9485417468426E-04 
 39.6 , 3.53984790795886E-04 
 39.9408284023669 , 3.15167015340812E-04 
 40.1538461538462 , 2.91677567548571E-04 
 40.5 , 2.54866769568145E-04 
 40.8408284023669 , 2.20384766408451E-04 
 41.0538461538462 , 1.99783165474079E-04 
 41.4 , 1.67968783203946E-04 
 41.7408284023669 , 1.38788252251153E-04 
 41.9538461538462 , 1.21700098116875E-04 
 42.1668639053254 , 1.05543284682874E-04 
 42.3 , 9.59361206255927E-05 
 42.5097405553027 , 8.15955411541292E-05 
 42.6408284023669 , 7.31416143382587E-05 
 42.771916249431 , 6.50912003476489E-05 
 42.8538461538462 , 6.02691311161223E-05 
 42.9849340009103 , 5.28962819016559E-05 
 43.0668639053254 , 4.85062847437337E-05 
 43.2 , 4.17380473620471E-05 
 43.3290711109555 , 3.56177799569041E-05 
 43.4097405553027 , 3.20179397005845E-05 
 43.5408284023669 , 2.65456459377475E-05 
 43.6214978467141 , 2.34145121950694E-05 
 43.671916249431 , 2.15504875643171E-05 
 43.7538461538462 , 1.86758810470288E-05 
 43.8345155981933 , 1.60347102107789E-05 
 43.8849340009103 , 1.44805352166008E-05 
 43.9668639053254 , 1.21154309111311E-05 
 44.0172823080424 , 1.07597818148815E-05 
 44.0487938097406 , 9.95148898424125E-06 
 44.1 , 8.70248064507763E-06 
 44.1488790005985 , 7.58527222394488E-06 
 44.1794283759726 , 6.92452084577817E-06 
 44.2290711109555 , 5.91279557726686E-06 
 44.2787138459384 , 4.97841040054143E-06 
 44.3097405553027 , 4.43399281017498E-06 
 44.3593832902856 , 3.62672258469769E-06 
 44.3904099996499 , 3.16231130447801E-06 
 44.4214367090142 , 2.728971309809E-06 
 44.4408284023669 , 2.47398657532903E-06 
 44.4713777777409 , 2.09714108433832E-06 
 44.4904711373497 , 1.87711484065194E-06 
 44.521497846714 , 1.54512378112573E-06 
 44.5525245560784 , 1.24491587477821E-06 
 44.571916249431 , 1.07350140998471E-06 
 44.5910096090398 , 9.16959803102052E-07 
 44.6029429587953 , 8.25304402117312E-07 
 44.622334652148 , 6.86537831844253E-07 
 44.6417263455007 , 5.60403542297675E-07 
 44.6538461538462 , 4.88003118170395E-07 
 44.672645769461 , 3.85519323183682E-07 
 44.6843955292202 , 3.27545754458035E-07 
 44.6961452889795 , 2.74259473517821E-07 
 44.703488888829 , 2.43339996433874E-07 
 44.7152386485883 , 1.97690655834318E-07 
 44.7225822484378 , 1.7155205343931E-07 
 44.7345155981933 , 1.33008518596193E-07 
 44.7417462195837 , 1.1202622024444E-07 
 44.7462653579526 , 9.98224122499406E-08 
 44.7536089578021 , 8.14860244444183E-08 
 44.7609525576517 , 6.50023616874019E-08 
