Incident Angle (deg),Reflectance (%) s-pol
 0 , 3.64000353414139E-03 
 0.9 , 3.64220731221879E-03 
 1.8 , 3.64882511223018E-03 
 2.7 , 3.65987635925436E-03 
 3.6 , 3.67539352107964E-03 
 4.5 , 3.69542224783467E-03 
 5.4 , 3.72002156877794E-03 
 6.3 , 3.74926414756482E-03 
 7.2 , 3.78323659771371E-03 
 8.1 , 3.82203986042341E-03 
 9 , 3.86578964732626E-03 
 9.9 , 3.9146169512513E-03 
 10.8 , 3.96866862857574E-03 
 11.7 , 4.02810805729805E-03 
 12.6 , 4.09311587557156E-03 
 13.5 , 4.16389080609645E-03 
 14.4 , 4.24065057248795E-03 
 15.3 , 4.32363291455707E-03 
 16.2 , 4.4130967103089E-03 
 17.1 , 4.50932321347685E-03 
 18 , 4.61261741649895E-03 
 18.9 , 4.72330955009705E-03 
 19.8 , 4.84175673200498E-03 
 20.7 , 4.96834477896444E-03 
 21.6 , 5.10349019787526E-03 
 22.5 , 5.24764237399182E-03 
 23.4 , 5.40128597633248E-03 
 24.3 , 5.56494360304295E-03 
 25.2 , 5.73917869239812E-03 
 26.1 , 5.92459872847694E-03 
 27 , 6.1218587743827E-03 
 27.9 , 6.3316653702555E-03 
 28.8 , 6.55478083838397E-03 
 29.7 , 6.79202804349575E-03 
 30.6 , 7.0442956629959E-03 
 31.5 , 7.3125440296283E-03 
 32.4 , 7.59781161796349E-03 
 33.3 , 7.90122225646337E-03 
 34.2 , 8.22399315890899E-03 
 35.1 , 8.5674438830017E-03 
 36 , 8.93300634032019E-03 
 36.9 , 9.32223600099854E-03 
 37.8 , 9.73682445898847E-03 
 38.7 , 1.01786135502702E-02 
 39.6 , 1.06496112476266E-02 
 40.5 , 1.11520095925861E-02 
 41.4 , 1.16882049690468E-02 
 42.3 , 1.22608210753314E-02 
 43.2 , 0.012872735013825 
 44.1 , 1.35271069920689E-02 
 45 , 1.42274142189896E-02 
 45.9 , 1.49774896882675E-02 
 46.8 , 1.57815666718887E-02 
 47.7 , 1.66443299062075E-02 
 48.6 , 1.75709746469732E-02 
 49.5 , 1.85672750075823E-02 
 50.4 , 1.96396632871132E-02 
 51.3 , 2.07953223557533E-02 
 52.2 , 2.20422936130791E-02 
 53.1 , 2.33896035929663E-02 
 54 , 2.48474129882779E-02 
 54.9 , 2.64271927492317E-02 
 55.8 , 2.81419330245176E-02 
 56.7 , 3.00063921343579E-02 
 57.6 , 3.20373945840647E-02 
 58.5 , 0.034254189472242 
 59.4 , 3.66788836920229E-02 
 60.3 , 3.93369683024551E-02 
 61.2 , 4.22579616858481E-02 
 62.1 , 4.54762000587068E-02 
 63 , 4.90318152056575E-02 
 63.9 , 5.29719518616276E-02 
 64.8 , 5.73522942747701E-02 
 65.7 , 6.22389950233884E-02 
 66.6 , 0.067711131899012 
 67.5 , 7.38638647170948E-02 
 68.4 , 0.080812529478568 
 69.3 , 8.86980018723552E-02 
 70.2 , 9.76938004413028E-02 
 71.1 , 0.108015605179073 
 71.6538461538462 , 0.115141102697337 
 72 , 0.119934177500346 
 72.5538461538462 , 0.128207520711455 
 72.9 , 0.133793144267075 
 73.4538461538462 , 0.143472398270539 
 73.8 , 0.150033855747225 
 74.3538461538461 , 0.161453926251337 
 74.7 , 0.169230723783205 
 75.2538461538462 , 0.182832522394658 
 75.6 , 0.192142407788194 
 76.1538461538462 , 0.208515784864668 
 76.5 , 0.219787516508213 
 77.0538461538462 , 0.239735913307602 
 77.4 , 0.25355921047188 
 77.9538461538462 , 0.278199540797077 
 78.3 , 0.295403320661219 
 78.8538461538461 , 0.326324821245831 
 79.2 , 0.348103590976044 
 79.5408284023669 , 0.371685675037566 
 79.7538461538462 , 0.387628980252657 
 80.1 , 0.415754411475188 
